                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0219,                 1.6368,                 0.7804,                 1.0889,                0.77204,                 0.6786,                0.76327,                0.51827,                0.77481,                0.67523,                0.76007,                0.45796,                  1.038,                 1.7183,                0.81528,                 1.1319,             0.00023977,             0.00023977,             0.00023977
                     37,                 1.0187,                 1.6195,                0.77267,                 1.0825,                 0.7684,                 0.6843,                0.76408,                0.51906,                 0.7723,                  0.681,                0.76095,                0.45867,                 1.0347,                 1.7158,                0.81423,                 1.1295,             0.00021405,             0.00021405,             0.00021405
                     38,                 1.0058,                 1.6067,                0.76638,                 1.0796,                0.76809,                0.68464,                0.76401,                0.51911,                0.76864,                0.68067,                 0.7601,                 0.4589,                 1.0389,                 1.7154,                0.80639,                 1.1347,             0.00018948,             0.00018948,             0.00018948
                     39,                 1.0054,                 1.5972,                0.75693,                 1.0791,                0.76732,                0.68843,                0.76607,                0.52153,                0.77058,                0.68491,                 0.7631,                0.46195,                 1.0358,                 1.7101,                0.80505,                 1.1345,             0.00016615,             0.00016615,             0.00016615
                     40,                 0.9984,                 1.5832,                0.74982,                 1.0746,                0.76911,                0.68504,                0.76707,                0.52308,                0.77271,                0.68208,                0.76397,                0.46425,                 1.0321,                 1.7062,                0.80125,                 1.1293,             0.00014416,             0.00014416,             0.00014416
                     41,                0.99959,                 1.5875,                 0.7472,                 1.0752,                0.76706,                0.68973,                0.76756,                0.52441,                0.77157,                0.68617,                0.76468,                0.46535,                 1.0298,                 1.7036,                0.79492,                 1.1326,              0.0001236,              0.0001236,              0.0001236
                     42,                0.99259,                 1.5758,                   0.74,                 1.0704,                0.77455,                0.68483,                0.76641,                0.52324,                0.77433,                0.68464,                0.76431,                0.46496,                 1.0352,                 1.7059,                0.79896,                 1.1332,             0.00010454,             0.00010454,             0.00010454
                     43,                0.98994,                 1.5718,                0.73095,                 1.0668,                0.77721,                0.68405,                0.76535,                0.52433,                0.77927,                0.68227,                 0.7635,                0.46443,                 1.0322,                 1.7047,                0.79215,                 1.1309,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     44,                0.98136,                 1.5565,                0.72962,                 1.0637,                0.77424,                0.68483,                0.76603,                0.52494,                0.77671,                0.68449,                0.76411,                0.46632,                 1.0322,                 1.7032,                0.79374,                 1.1297,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     45,                0.97985,                 1.5535,                 0.7255,                  1.065,                0.77483,                0.68778,                0.76851,                0.52724,                 0.7747,                0.68766,                0.76646,                0.46703,                  1.028,                 1.6966,                0.78967,                 1.1272,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     46,                0.97839,                 1.5454,                0.71737,                 1.0647,                0.77251,                0.68904,                0.76898,                0.52768,                0.77526,                0.68751,                0.76686,                0.46856,                 1.0287,                 1.6963,                0.79099,                 1.1274,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     47,                 0.9753,                 1.5487,                 0.7161,                 1.0619,                0.76969,                0.68957,                 0.7683,                0.52676,                0.77198,                0.68854,                0.76634,                0.46779,                  1.027,                 1.6976,                0.78892,                 1.1305,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     48,                 0.9751,                 1.5447,                0.71656,                 1.0606,                0.77303,                0.68755,                0.76861,                0.52643,                0.77409,                0.68667,                0.76585,                 0.4672,                 1.0272,                 1.6961,                0.78914,                 1.1316,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     49,                0.96969,                 1.5322,                0.71579,                 1.0634,                0.77083,                0.69034,                0.76943,                0.52833,                0.77284,                 0.6895,                0.76721,                0.46859,                 1.0245,                 1.6927,                0.78727,                 1.1309,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     50,                 0.9748,                 1.5458,                0.71244,                 1.0577,                 0.7706,                0.68946,                0.76864,                0.52767,                0.77051,                0.68938,                0.76625,                 0.4684,                 1.0241,                  1.694,                0.78868,                 1.1304,             1.3903e-05,             1.3903e-05,             1.3903e-05
